啊啊啊|a1 a1 a1
阿法罗定|a1 fa3 luo2 ding4
阿法沙龙|a1 fa3 sha1 long2
阿法双酮|a1 fa3 shuang1 tong2
阿伐斯汀|a1 fa2 si1 ting1
阿飞|a1 fei1
阿酚咖|a1 fen1 ka1
阿酚咖敏|a1 fen1 ka1 min3
阿酚咖片|a1 fen1 ka1 pian4
阿芬太尼|a1 fen1 tai4 ni2
阿富汗|a1 fu4 han4
阿弗拉沙|a1 fu2 la1 sha1
阿呋唑嗪|a1 fu1 zuo4 qin2
阿夫唑嗪|a1 fu1 zuo4 qin2
阿嘎乡|a1 ga1 xiang1
阿干镇|a1 gan4 zhen4
阿岗镇|a1 gang3 zhen4
阿高尔|a1 gao1 er3
阿哥|a1 ge1
阿格曼奇|a1 ge2 man4 qi2
阿戈莫德|a1 ge1 mo4 de2
阿格姆|a1 ge2 mu3
阿格纳|a1 ge2 na4
阿格图|a1 ge2 tu2
阿格乡|a1 ge2 xiang1
阿根廷|a1 gen1 ting2
阿庚逢迎|a1 geng1 feng2 ying2
阿公|a1 gong1
阿弓镇|a1 gong1 zhen4
阿狗阿猫|a1 gou3 a1 mao1
阿苟纳|a1 gou3 na4
阿姑阿翁|a1 gu1 a1 weng1
阿家阿翁|a1 gu1 a1 weng1
阿古拉镇|a1 gu3 la1 zhen4
阿古斯|a1 gu3 si1
阿古塔斯|a1 gu3 ta3 si1
阿贵图乡|a1 gui4 tu2 xiang1
阿归养血|a1 gui1 yang3 xue4
啊哈|a1 ha1
阿合奇|a1 he2 qi2
阿合奇县|a1 he2 qi2 xian4
阿合奇镇|a1 he2 qi2 zhen4
阿合亚乡|a1 he2 ya4 xiang1
阿訇|a1 hong1
阿洪病|a1 hong2 bing4
阿湖乡|a1 hu2 xiang1
阿湖镇|a1 hu2 zhen4
阿基巴德|a1 ji1 ba1 de2
阿基班德|a1 ji1 ban1 de2
阿基米德|a1 ji1 mi3 de2
阿吉镇|a1 ji2 zhen4
阿迦玛|a1 jia1 ma3
阿迦玛甘|a1 jia1 ma3 gan1
阿迦玛戈|a1 jia1 ma3 ge1
阿加麦斯|a1 jia1 mai4 si1
阿加曼德|a1 jia1 man4 de2
阿加曲班|a1 jia1 qu3 ban1
阿娇金屋|a1 jiao1 jin1 wu1
阿胶片|a1 jiao1 pian4
阿姐|a1 jie3
阿桔|a1 ju2
阿桔片|a1 ju2 pian4
阿咖|a1 ka1
阿卡波糖|a1 ka3 bo1 tang2
阿咖酚|a1 ka1 fen1
阿咖酚散|a1 ka1 fen1 san4
阿咖敏|a1 ka1 min3
阿卡纳|a1 ka3 na4
阿咖片|a1 ka1 pian4
阿坎努斯|a1 kan3 nu3 si1
阿考洛克|a1 kao3 luo4 ke4
阿克巴斯|a1 ke4 ba1 si1
阿可达|a1 ke3 da2
阿克卡环|a1 ke4 ka3 huan2
阿克拉|a1 ke4 la1
阿克兰|a1 ke4 lan2
阿克雷|a1 ke4 lei2
阿科里乡|a1 ke1 li3 xiang1
阿克鲁比|a1 ke4 lu3 bi3
阿克蒙德|a1 ke4 meng2 de2
阿克齐镇|a1 ke4 qi2 zhen4
阿克萨林|a1 ke4 sa4 lin2
阿克塞|a1 ke4 sai1
阿克苏|a1 ke4 su1
阿克苏市|a1 ke4 su1 shi4
阿克苏县|a1 ke4 su1 xian4
阿克苏乡|a1 ke4 su1 xiang1
阿克他利|a1 ke4 ta1 li4
阿克陶|a1 ke4 tao2
阿克陶县|a1 ke4 tao2 xian4
阿壳西|a1 ke2 xi1
阿库氯铵|a1 ku4 lv4 an3
阿库麦尔|a1 ku4 mai4 er3
阿枯片|a1 ku1 pian4
阿奎尔|a1 kui2 er3
阿拉|a1 la1
阿拉伯|a1 la1 bo2
阿拉伯胶|a1 la1 bo2 jiao1
阿拉伯人|a1 la1 bo2 ren2
阿拉伯糖|a1 la1 bo2 tang2
阿拉伯文|a1 la1 bo2 wen2
阿拉伯语|a1 la1 bo2 yu3
阿拉基|a1 la1 ji1
阿拉加|a1 la1 jia1
阿拉玛尔|a1 la1 ma3 er3
阿拉明|a1 la1 ming2
阿拉普利|a1 la1 pu3 li4
阿拉瑞林|a1 la1 rui4 lin2
阿拉善|a1 la1 shan4
阿拉善盟|a1 la1 shan4 meng2
阿拉索|a1 la1 suo3
阿拉希|a1 la1 xi1
阿拉辛|a1 la1 xin1
阿莱克斯|a1 lai2 ke4 si1
阿兰考尔|a1 lan2 kao3 er3
阿兰奈|a1 lan2 nai4
阿兰齐斯|a1 lan2 qi2 si1
阿兰其亚|a1 lan2 qi2 ya4
阿兰提尔|a1 lan2 ti2 er3
阿兰希雅|a1 lan2 xi1 ya3
阿乐|a1 le4
阿乐迈|a1 le4 mai4
阿勒泰|a1 le4 tai4
阿勒泰市|a1 le4 tai4 shi4
阿勒泰县|a1 le4 tai4 xian4
阿乐欣|a1 le4 xin1
阿雷顿|a1 lei2 dun4
阿雷贡|a1 lei2 gong4
阿雷克斯|a1 lei2 ke4 si1
阿里|a1 li3
阿里地|a1 li3 di4
阿里地区|a1 li3 di4 qu1
阿利卡拉|a1 li4 ka3 la1
阿利马嗪|a1 li4 ma3 qin2
阿立哌唑|a1 li4 pai4 zuo4
阿里山|a1 li3 shan1
阿利亚斯|a1 li4 ya4 si1
阿联|a1 lian2
阿联酋|a1 lian2 qiu2
阿林索|a1 lin2 suo3
阿林新|a1 lin2 xin1
阿隆索斯|a1 long2 suo3 si1
阿鲁|a1 lu3
阿鲁巴|a1 lu3 ba1
阿鲁高|a1 lu3 gao1
阿伦|a1 lun2
阿仑膦酸|a1 lun2 lin4 suan1
阿罗洛尔|a1 luo2 luo4 er3
阿罗瞳孔|a1 luo2 tong2 kong3
阿洛西林|a1 luo4 xi1 lin2
阿妈|a1 ma1
阿马嗄旗|a1 ma3 a2 qi2
阿玛卡|a1 ma3 ka3
阿玛拉|a1 ma3 la1
阿玛拉珊|a1 ma3 la1 shan1
阿玛伦|a1 ma3 lun2
阿妈妮|a1 ma1 ni1
阿曼|a1 man4
阿曼尼|a1 man4 ni2
阿曼瑟尔|a1 man4 se4 er3
阿猫阿狗|a1 mao1 a1 gou3
阿妹|a1 mei4
阿美利特|a1 mei3 li4 te4
阿美奇|a1 mei3 qi2
阿霉素|a1 mei2 su4
阿门|a1 men2
阿盟|a1 meng2
阿米巴|a1 mi3 ba1
阿米巴病|a1 mi3 ba1 bing4
阿米尔|a1 mi3 er3
阿米福汀|a1 mi3 fu2 ting1
阿米卡星|a1 mi3 ka3 xing1
阿米雷司|a1 mi3 lei2 si1
阿米洛利|a1 mi3 luo4 li4
阿密替林|a1 mi4 ti4 lin2
阿米替林|a1 mi3 ti4 lin2
阿明洛芬|a1 ming2 luo4 fen1
阿莫地喹|a1 mo4 di4 kui2
阿茉立|a1 mo4 li4
阿莫罗芬|a1 mo4 luo2 fen1
阿莫尼斯|a1 mo4 ni2 si1
阿莫沙平|a1 mo4 sha1 ping2
阿莫西林|a1 mo4 xi1 lin2
阿莫仙|a1 mo4 xian1
阿穆|a1 mu4
阿姆伯尔|a1 mu3 bo2 er3
阿穆隆|a1 mu4 long2
阿纳克|a1 na4 ke4
阿纳雷斯|a1 na4 lei2 si1
阿那曲唑|a1 na4 qu3 zuo4
阿娜莎|a1 na4 sha1
阿囡|a1 nan1
阿南圣|a1 nan2 sheng4
阿尼利定|a1 ni2 li4 ding4
阿尼西坦|a1 ni2 xi1 tan3
阿努希尔|a1 nu3 xi1 er3
阿诺德|a1 nuo4 de2
阿诺克|a1 nuo4 ke4
阿诺新|a1 nuo4 xin1
阿帕拉耶|a1 pa4 la1 ye1
阿帕网|a1 pa4 wang3
阿帕西林|a1 pa4 xi1 lin2
阿毗地狱|a1 pi2 di4 yu4
阿片|a1 pian4
阿片酊|a1 pian4 ding3
阿片粉|a1 pian4 fen3
阿片片|a1 pian4 pian4
阿片全碱|a1 pian4 quan2 jian3
阿平绝倒|a1 ping2 jue2 dao3
阿婆|a1 po2
阿普林定|a1 pu3 lin2 ding4
阿普洛尔|a1 pu3 luo4 er3
阿扑吗啡|a1 pu1 ma5 fei1
阿扑双欣|a1 pu1 shuang1 xin1
阿扑西林|a1 pu1 xi1 lin2
阿普唑仑|a1 pu3 zuo4 lun2
阿契厄斯|a1 qi4 e4 si1
阿奇霉素|a1 qi2 mei2 su4
阿齐霉素|a1 qi2 mei2 su4
阿奇速美|a1 qi2 su4 mei3
阿奇欣|a1 qi2 xin1
阿沁|a1 qin4
阿嗪米特|a1 qin2 mi3 te4
阿曲库铵|a1 qu3 ku4 an3
阿荣|a1 rong2
阿荣旗|a1 rong2 qi2
阿柔比星|a1 rou2 bi3 xing1
阿瑞尼亚|a1 rui4 ni2 ya4
阿瑞斯|a1 rui4 si1
阿瑞斯坦|a1 rui4 si1 tan3
阿瑞耶尔|a1 rui4 ye1 er3
阿萨洛斯|a1 sa4 luo4 si1
阿萨南|a1 sa4 nan2
阿塞拜疆|a1 sai1 bai4 jiang1
阿赛奇|a1 sai4 qi2
阿赛松|a1 sai4 song1
阿嫂|a1 sao3
阿瑟罗克|a1 se4 luo2 ke4
阿沙吉尔|a1 sha1 ji2 er3
阿舍西隆|a1 she3 xi1 long2
阿婶|a1 shen3
阿什坎迪|a1 shen2 kan3 di2
阿什拉姆|a1 shen2 la1 mu3
阿什兰|a1 shen2 lan2
阿什雷|a1 shen2 lei2
阿什洛克|a1 shen2 luo4 ke4
阿氏蒿|a1 shi4 hao1
阿诗玛|a1 shi1 ma3
阿斯病|a1 si1 bing4
阿司待因|a1 si1 dai4 yin1
阿丝卡|a1 si1 ka3
阿斯拉|a1 si1 la1
阿思乐|a1 si1 le4
阿斯利康|a1 si1 li4 kang1
阿斯美|a1 si1 mei3
阿司米星|a1 si1 mi3 xing1
阿司咪唑|a1 si1 mi1 zuo4
阿司帕坦|a1 si1 pa4 tan3
阿司匹林|a1 si1 pi3 lin2
阿斯匹林|a1 si1 pi3 lin2
阿斯塔利|a1 si1 ta3 li4
阿斯坦娅|a1 si1 tan3 ya4
阿斯托|a1 si1 tuo1
阿思欣泰|a1 si1 xin1 tai4
阿宋试验|a1 song4 shi4 yan4
阿索兰|a1 suo3 lan2
阿塔哈卡|a1 ta3 ha1 ka3
阿塔莱|a1 ta3 lai2
阿塔玛|a1 ta3 ma3
阿塔瑞克|a1 ta3 rui4 ke4
阿泰宁|a1 tai4 ning2
阿糖胞苷|a1 tang2 bao1 gan1
阿糖霉素|a1 tang2 mei2 su4
阿糖腺苷|a1 tang2 xian4 gan1
阿特拉|a1 te4 la1
阿特帕|a1 te4 pa4
阿特伍德|a1 te4 wu3 de2
阿嚏|a1 ti4
阿替卡因|a1 ti4 ka3 yin1
阿替洛尔|a1 ti4 luo4 er3
阿替普酶|a1 ti4 pu3 mei2
阿图什|a1 tu2 shi5
阿图什市|a1 tu2 shi5 shi4
阿托|a1 tuo1
阿托留斯|a1 tuo1 liu2 si1
阿拓莫兰|a1 tuo4 mo4 lan2
阿托品|a1 tuo1 pin3
阿托品片|a1 tuo1 pin3 pian4
阿瓦鲁斯|a1 wa3 lu3 si1
阿瓦提|a1 wa3 ti2
阿瓦提县|a1 wa3 ti2 xian4
阿维|a1 wei2
阿魏|a1 wei4
阿魏八味|a1 wei4 ba1 wei4
阿魏化痞|a1 wei4 hua4 pi3
阿维胶囊|a1 wei2 jiao1 nang2
阿魏酸|a1 wei4 suan1
阿魏酸钠|a1 wei4 suan1 na4
阿文纳萨|a1 wen2 na4 sa4
阿闻酋|a1 wen2 qiu2
阿昔洛韦|a1 xi1 luo4 wei2
阿西美辛|a1 xi1 mei3 xin1
阿昔莫司|a1 xi1 mo4 si1
啊呀|a1 ya5
阿亚米斯|a1 ya4 mi3 si1
阿亚娜|a1 ya4 na4
阿姨|a1 yi2
阿依河|a1 yi1 he2
阿义马林|a1 yi4 ma3 lin2
阿翼特|a1 yi4 te4
啊哟|a1 yo1
阿孕奈德|a1 yun4 nai4 de2
阿扎达斯|a1 zha1 da2 si1
阿扎尔|a1 zha1 er3
阿扎环醇|a1 zha1 huan2 chun2
阿扎司琼|a1 zha1 si1 qiong2
阿扎他啶|a1 zha1 ta1 ding4
阿兹加洛|a1 zi1 jia1 luo4
阿兹雷比|a1 zi1 lei2 bi3
阿兹林|a1 zi1 lin2
阿祖拉|a1 zu3 la1
阿佐尔|a1 zuo3 er3
阿佐霉素|a1 zuo3 mei2 su4
阿佐塞米|a1 zuo3 sai1 mi3
皑皑|ai2 ai2
矮矮|ai3 ai3
哀哀父母|ai1 ai1 fu4 mu3
哀哀欲绝|ai1 ai1 yu4 jue2
爱邦|ai4 bang1
爱保莲|ai4 bao3 lian2
爱宝疗|ai4 bao3 liao2
爱倍|ai4 bei4
艾贝诺|ai4 bei4 nuo4
艾本|ai4 ben3
埃比克瓦|ai1 bi3 ke4 wa3
埃比图|ai1 bi3 tu2
癌变|ai2 bian4
爱别离苦|ai4 bie2 li2 ku3
哀兵必胜|ai1 bing1 bi4 sheng4
艾伯雷恩|ai4 bo2 lei2 en1
埃伯洛克|ai1 bo2 luo4 ke4
埃伯内线|ai1 bo2 nei4 xian4
埃伯内腺|ai1 bo2 nei4 xian4
埃博诺克|ai1 bo2 nuo4 ke4
艾博希尔|ai4 bo2 xi1 er3
埃布鲁|ai1 bu4 lu3
爱才如渴|ai4 cai2 ru2 ke3
爱才如命|ai4 cai2 ru2 ming4
爱财如命|ai4 cai2 ru2 ming4
爱才若渴|ai4 cai2 ruo4 ke3
艾草|ai4 cao3
矮茶素|ai3 cha2 su4
艾畅|ai4 chang4
爱称|ai4 cheng1
哀愁|ai1 chou2
哀辞|ai1 ci2
挨次|ai2 ci4
哀此孤生|ai1 ci3 gu1 sheng1
挨打|ai2 da3
爱大|ai4 da4
艾达|ai4 da2
埃达拉|ai1 da2 la1
埃达拉斯|ai1 da2 la1 si1
艾达乐|ai4 da2 le4
艾达明|ai4 da2 ming2
艾达生|ai4 da2 sheng1
挨打受骂|ai2 da3 shou4 ma4
艾达伊斯|ai4 da2 yi1 si1
爱戴|ai4 dai4
艾代尔|ai4 dai4 er3
艾丹娜|ai4 dan1 na4
爱丹崖|ai4 dan1 ya2
哀悼|ai1 dao4
爱德儿康|ai4 de2 er2 kang1
爱德华|ai4 de2 hua2
爱的阶梯|ai4 de5 jie1 ti1
埃德拉斯|ai1 de2 la1 si1
艾德勒|ai4 de2 le4
艾德雷斯|ai4 de2 lei2 si1
爱得力|ai4 de2 li4
艾德林|ai4 de2 lin2
艾德娜|ai4 de2 na4
埃德瑞克|ai1 de2 rui4 ke4
埃德瑞斯|ai1 de2 rui4 si1
埃德瓦|ai1 de2 wa3
艾德温|ai4 de2 wen1
艾德温娜|ai4 de2 wen1 na4
矮凳|ai3 deng4
艾迪|ai4 di2
埃迪安|ai1 di2 an1
艾地苯醌|ai4 di4 ben3 kun1
矮地茶|ai3 di4 cha2
艾蒂尔|ai4 di4 er3
艾狄莫尼|ai4 di2 mo4 ni2
爱地清|ai4 di4 qing1
艾迪莎|ai4 di2 sha1
爱迪生|ai4 di2 sheng1
艾迪斯|ai4 di2 si1
艾迪特|ai4 di2 te4
艾蒂亚|ai4 di4 ya4
哀吊|ai1 diao4
挨冻|ai2 dong4
挨冻受饿|ai2 dong4 shou4 e4
挨斗|ai2 dou4
癌毒激素|ai2 du2 ji1 su4
矮墩墩|ai3 dun1 dun1
挨饿|ai2 e4
艾恩|ai4 en1
艾尔崔|ai4 er3 cui1
埃尔丁|ai1 er3 ding1
艾尔丁|ai4 er3 ding1
艾尔基|ai4 er3 ji1
艾尔嘉|ai4 er3 jia1
爱尔凯因|ai4 er3 kai3 yin1
埃尔克|ai1 er3 ke4
艾尔克辛|ai4 er3 ke4 xin1
埃尔兰|ai1 er3 lan2
爱尔兰|ai4 er3 lan2
爱尔兰岛|ai4 er3 lan2 dao3
艾尔伦|ai4 er3 lun2
艾尔罗|ai4 er3 luo2
艾尔默|ai4 er3 mo4
埃尔托格|ai1 er3 tuo1 ge2
艾尔文|ai4 er3 wen2
挨罚|ai2 fa2
爱菲乐|ai4 fei1 le4
埃菲里恩|ai1 fei1 li3 en1
爱芬|ai4 fen1
艾丰|ai4 feng1
挨风缉缝|ai2 feng1 ji1 feng2
捱风缉缝|ai2 feng1 qi1 feng2
爱抚|ai4 fu3
癌复康片|ai2 fu4 kang1 pian4
艾弗拉兰|ai4 fu2 la1 lan2
艾氟龙|ai4 fu2 long2
艾复咛|ai4 fu4 ning2
艾附暖宫|ai4 fu4 nuan3 gong1
爱富嫌贫|ai4 fu4 xian2 pin2
哀感天地|ai1 gan3 tian1 di4
哀感顽艳|ai1 gan3 wan2 yan4
哀感中年|ai1 gan3 zhong1 nian2
哀告|ai1 gao4
哀告宾服|ai1 gao4 bin1 fu2
哀歌|ai1 ge1
挨个|ai2 ge4
艾格|ai4 ge2
埃格灯|ai1 ge2 deng1
挨个儿|ai2 ge4 er2
矮个儿|ai3 ge4 er2
埃格林灯|ai1 ge2 lin2 deng1
埃格隆|ai1 ge2 long2
埃格蒙德|ai1 ge2 meng2 de2
埃格试验|ai1 ge2 shi4 yan4
艾格文|ai4 ge2 wen2
矮个子|ai3 ge4 zi3
埃根|ai1 gen1
埃古雷亚|ai1 gu3 lei2 ya4
爱国|ai4 guo2
爱国红心|ai4 guo2 hong2 xin1
爱国热情|ai4 guo2 re4 qing2
爱国人士|ai4 guo2 ren2 shi4
爱国如家|ai4 guo2 ru2 jia1
爱国心|ai4 guo2 xin1
爱国者|ai4 guo2 zhe3
爱国中医|ai4 guo2 zhong1 yi1
爱国主义|ai4 guo2 zhu3 yi4
哀号|ai1 hao4
哀嚎|ai1 hao2
爱好|ai4 hao3
艾蒿|ai4 hao1
哀嚎洞穴|ai1 hao2 dong4 xue2
哀嚎肩甲|ai1 hao2 jian1 jia3
哀嚎死者|ai1 hao2 si3 zhe3
哀嚎香精|ai1 hao2 xiang1 jing1
爱好者|ai4 hao3 zhe3
哀嚎之刃|ai1 hao2 zhi1 ren4
爱河|ai4 he2
艾赫病|ai4 he4 bing4
艾和富|ai4 he2 fu4
爱鹤失众|ai4 he4 shi1 zhong4
艾恒|ai4 heng2
哀鸿|ai1 hong2
哀鸿遍地|ai1 hong2 bian4 di4
哀鸿遍野|ai1 hong2 bian4 ye3
挨户|ai2 hu4
爱护|ai4 hu4
爱辉|ai4 hui1
哀毁骨立|ai1 hui3 gu3 li4
哀毁瘠立|ai1 hui3 ji2 li4
爱辉区|ai4 hui1 qu1
爱辉县|ai4 hui1 xian4
爱活尿通|ai4 huo2 niao4 tong1
埃及|ai1 ji2
挨挤|ai2 ji3
埃及病毒|ai1 ji2 bing4 du2
埃基尔松|ai1 ji1 er3 song1
艾吉勒|ai4 ji2 le4
艾吉斯|ai4 ji2 si1
癌基因|ai2 ji1 yin1
挨家|ai2 jia1
挨家挨户|ai2 jia1 ai2 hu4
艾佳欣|ai4 jia1 xin1
挨肩|ai2 jian1
挨肩并足|ai2 jian1 bing4 zu2
挨肩擦膀|ai2 jian1 ca1 bang3
挨肩擦背|ai2 jian1 ca1 bei4
挨肩擦脸|ai2 jian1 ca1 lian3
挨肩搭背|ai2 jian1 da1 bei4
挨肩叠背|ai2 jian1 die2 bei4
挨肩迭背|ai2 jian1 die2 bei4
挨肩儿|ai2 jian1 er2
爱将|ai4 jiang1
哀叫|ai1 jiao4
爱捷康|ai4 jie2 kang1
哀矜|ai1 jin1
挨近|ai2 jin4
埃金斯|ai1 jin1 si1
埃卡洛姆|ai1 ka3 luo4 mu3
挨靠|ai2 kao4
艾可安|ai4 ke3 an1
艾克博康|ai4 ke4 bo2 kang1
爱可得液|ai4 ke3 de2 ye4
艾克儿|ai4 ke4 er2
爱可兰|ai4 ke3 lan2
爱克兰片|ai4 ke4 lan2 pian4
艾克朗|ai4 ke4 lang3
艾克曼|ai4 ke4 man4
爱克斯光|ai4 ke4 si1 guang1
埃克斯特|ai1 ke4 si1 te4
爱可松|ai4 ke3 song1
埃克特|ai1 ke4 te4
艾可拓|ai4 ke3 tuo4
埃克托兹|ai1 ke4 tuo1 zi1
艾可谓|ai4 ke3 wei4
哀恳|ai1 ken3
碍口|ai4 kou3
隘口|ai4 kou3
碍口识羞|ai4 kou3 shi2 xiu1
哀哭|ai1 ku1
埃库尼苏|ai1 ku4 ni2 su1
艾奎恩妮|ai4 kui2 en1 ni1
癌扩散|ai2 kuo4 san4
艾拉|ai4 la1
艾拉迪尔|ai4 la1 di2 er3
艾拉希亚|ai4 la1 xi1 ya4
艾莱尼|ai4 lai2 ni2
埃兰|ai1 lan2
埃兰德|ai1 lan2 de2
艾兰蒂斯|ai4 lan2 di4 si1
艾兰朵|ai4 lan2 duo3
艾兰娜瑞|ai4 lan2 na4 rui4
埃兰之影|ai1 lan2 zhi1 ying3
艾朗|ai4 lang3
埃勒斯|ai1 le4 si1
爱乐维|ai4 le4 wei2
艾雷|ai4 lei2
埃雷恩|ai1 lei2 en1
艾蕾拉|ai4 lei3 la1
艾蕾莉亚|ai4 lei3 li4 ya4
艾蕾娜|ai4 lei3 na4
艾雷诺|ai4 lei2 nuo4
艾雷诺湖|ai4 lei2 nuo4 hu2
爱丽|ai4 li4
爱俪|ai4 li4
艾丽|ai4 li4
艾力|ai4 li4
爱礼存羊|ai4 li3 cun2 yang2
艾力达|ai4 li4 da2
埃里戈尔|ai1 li3 ge1 er3
艾利克|ai4 li4 ke4
艾力可|ai4 li4 ke3
埃利姆|ai1 li4 mu3
埃莉萨|ai1 li4 sa4
艾丽萨|ai4 li4 sa4
艾莉萨|ai4 li4 sa4
哀梨蒸食|ai1 li2 zheng1 shi2
哀怜|ai1 lian2
爱怜|ai4 lian2
爱恋|ai4 lian4
哀怜阵没|ai1 lian2 zhen4 mei2
埃林|ai1 lin2
艾琳娜|ai4 lin2 na4
艾林诺尔|ai4 lin2 nuo4 er3
艾林松|ai4 lin2 song1
艾林泰|ai4 lin2 tai4
癌瘤|ai2 liu2
埃隆巴克|ai1 long2 ba1 ke4
艾隆汉|ai4 long2 han4
艾隆纳亚|ai4 long2 na4 ya4
埃隆努斯|ai1 long2 nu3 si1
艾隆帕|ai4 long2 pa4
艾隆萨尔|ai4 long2 sa4 er3
艾鲁|ai4 lu3
隘路|ai4 lu4
艾露恩|ai4 lu4 en1
艾鲁那|ai4 lu3 na4
艾露尼|ai4 lu4 ni2
爱路韦|ai4 lu4 wei2
艾略|ai4 lue4
埃伦|ai1 lun2
艾伦|ai4 lun2
艾伦达|ai4 lun2 da2
艾罗|ai4 luo2
埃罗恩|ai1 luo2 en1
艾洛松|ai4 luo4 song1
爱罗苏|ai4 luo2 su1
埃洛特|ai1 luo4 te4
爱侣|ai4 lv3
挨骂|ai2 ma4
艾玛|ai4 ma3
爱脉朗|ai4 mai4 lang3
艾麦舒|ai4 mai4 shu1
爱毛反裘|ai4 mao2 fan3 qiu2
暧昧|ai4 mei4
爱美|ai4 mei3
埃美丁|ai1 mei3 ding1
暧昧之情|ai4 mei4 zhi1 qing2
埃门|ai1 men2
挨门|ai2 men2
挨门挨户|ai2 men2 ai2 hu4
埃门谷|ai1 men2 gu3
埃门海滩|ai1 men2 hai3 tan1
埃门平原|ai1 men2 ping2 yuan2
挨门逐户|ai2 men2 zhu2 hu4
艾梦萌|ai4 meng4 meng2
艾咪|ai4 mi1
艾米|ai4 mi3
埃米尔|ai1 mi3 er3
艾米尔|ai4 mi3 er3
爱米琦|ai4 mi3 qi2
艾米斯|ai4 mi3 si1
艾米苏|ai4 mi3 su1
爱面子|ai4 mian4 zi3
碍面子|ai4 mian4 zi3
爱民|ai4 min2
爱民康|ai4 min2 kang1
爱民区|ai4 min2 qu1
爱民如子|ai4 min2 ru2 zi3
哀闽也|ai1 min3 ye3
哀鸣|ai1 ming2
癌魔|ai2 mo2
埃摩戈|ai1 mo2 ge1
艾默夹板|ai4 mo4 jia2 ban3
艾茉拉|ai4 mo4 la1
艾莫莉丝|ai4 mo4 li4 si1
爱莫能助|ai4 mo4 neng2 zhu4
哀莫余伍|ai1 mo4 yu2 wu3
爱莫之助|ai4 mo4 zhi1 zhu4
爱慕|ai4 mu4
艾沐|ai4 mu4
埃姆鲁尔|ai1 mu3 lu3 er3
埃纳尔|ai1 na4 er3
爱纳灵|ai4 na4 ling2
碍难|ai4 nan2
碍难从命|ai4 nan2 cong2 ming4
埃尼阿克|ai1 ni2 a1 ke4
艾妮亚|ai4 ni1 ya4
艾诺吉|ai4 nuo4 ji2
艾诺克|ai4 nuo4 ke4
艾诺宁|ai4 nuo4 ning2
爱诺天健|ai4 nuo4 tian1 jian4
爱女|ai4 nv3
騃女痴儿|ai2 nv3 chi1 er2
騃女痴男|ai2 nv3 chi1 nan2
艾欧琳|ai4 ou1 lin2
艾欧娜|ai4 ou1 na4
埃欧努斯|ai1 ou1 nu3 si1
矮胖|ai3 pang4
爱佩病|ai4 pei4 bing4
癌胚抗原|ai2 pei1 kang4 yuan2
